"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.523544569E0,7.070764899E-2,-1.366047412E-1,2.940552533E-1
3.533544569E0,1.134682223E-1,-1.396590620E-1,2.928335369E-1
3.543544535E0,1.763873398E-1,-1.738675237E-1,2.708423734E-1
3.553544535E0,2.557998300E-1,-2.392300963E-1,2.396882474E-1
3.563544568E0,3.462078869E-1,-3.015383482E-1,2.030363381E-1
3.573544501E0,4.298964143E-1,-3.424663246E-1,1.804343164E-1
3.583544534E0,4.775438905E-1,-3.858377635E-1,1.840995103E-1
3.593544567E0,4.928155243E-1,-4.585307240E-1,2.323578745E-1
3.603544567E0,4.763221741E-1,-4.970152378E-1,2.659554482E-1
3.613544600E0,4.610505402E-1,-5.147303343E-1,2.946661115E-1
3.623543900E0,4.628831446E-1,-5.354997516E-1,3.007747829E-1
3.633543233E0,4.714352489E-1,-5.690973401E-1,2.848922908E-1
3.643542399E0,4.751004577E-1,-5.929210782E-1,2.574033439E-1
3.653541699E0,4.720461071E-1,-5.886450410E-1,2.323578745E-1
3.663541732E0,4.598288238E-1,-5.813146234E-1,2.152536362E-1
3.673540898E0,4.463897645E-1,-5.898667574E-1,2.042580694E-1
3.683540764E0,4.439463317E-1,-5.965862870E-1,1.590540409E-1
3.693540730E0,4.347833395E-1,-5.953645110E-1,1.162934676E-1
3.703540696E0,4.060726762E-1,-5.800929070E-1,8.391761035E-2
3.713540362E0,3.627012372E-1,-5.483279228E-1,6.070473418E-2
3.723539662E0,3.083342314E-1,-4.945717752E-1,4.848742858E-2
3.733539628E0,2.551889420E-1,-4.218788147E-1,5.215261877E-2
3.743539661E0,2.142609805E-1,-3.516293168E-1,6.803511828E-2
3.753539727E0,1.806633919E-1,-2.771037519E-1,8.941540122E-2
3.763539727E0,1.696678251E-1,-1.995238662E-1,1.083522215E-1
3.773539660E0,1.721112877E-1,-1.225548387E-1,1.162934676E-1
3.783539626E0,1.696678251E-1,-5.780312419E-2,1.144608781E-1
