"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.493889875E0,2.510849950E-1,-1.253303897E-1,2.595286667E-2
3.503843875E0,3.152220437E-1,-6.025906563E-2,-8.946239948E-4
3.513796875E0,3.362040827E-1,3.821477026E-2,-5.245537162E-2
3.523750875E0,2.732585504E-1,8.809356630E-2,-2.989564419E-2
3.533704875E0,1.245836638E-1,8.303660184E-2,6.706756353E-2
3.543657875E0,-4.805066407E-2,5.203875750E-2,1.707743651E-1
3.553611875E0,-1.848345067E-1,2.514858216E-2,2.451661509E-1
3.563564875E0,-2.797571093E-1,6.469359398E-3,2.375612622E-1
3.573518875E0,-3.054308810E-1,4.457098603E-2,1.306314754E-1
3.583471875E0,-2.834305860E-1,7.912481457E-2,5.006386042E-2
3.593425875E0,-2.547117305E-1,7.964784801E-2,9.963655472E-4
3.603378875E0,-1.894919602E-1,8.816899538E-2,-2.913024366E-2
3.613332875E0,-1.514037821E-1,5.845636904E-2,-8.331580639E-2
3.623286875E0,-1.267643463E-1,-1.322932541E-2,-1.631408250E-1
3.633239875E0,-5.378418792E-2,-5.301670432E-2,-2.667464697E-1
3.643193875E0,6.691652264E-2,-9.450913131E-2,-2.936079937E-1
3.653146875E0,1.875509404E-1,-1.198442397E-1,-2.159943920E-1
3.663100875E0,2.634079654E-1,-1.474682406E-1,-7.258908927E-2
3.673053875E0,2.600281286E-1,-1.616684961E-1,8.366196156E-2
3.683007875E0,2.110306541E-1,-1.411319053E-1,2.600970161E-1
3.692960875E0,1.777280566E-1,-5.866219103E-2,3.563205510E-1
3.702914875E0,6.478565108E-2,-3.750521064E-2,3.655322546E-1
3.712867875E0,-8.669465650E-2,-3.377176344E-2,3.218611550E-1
3.722821875E0,-1.875080730E-1,-2.833414525E-2,2.485516888E-1
3.732774875E0,-1.758617716E-1,-1.440403104E-2,1.037032932E-1
