"Time (s)","X (hPa)"
7.883928420E2,1.027189865E3
7.894276950E2,1.027210236E3
7.904625230E2,1.027225342E3
7.914973640E2,1.027225342E3
7.925322330E2,1.027210007E3
7.935671330E2,1.027149124E3
7.946020490E2,1.027080841E3
7.956369560E2,1.027009659E3
7.966718350E2,1.026946716E3
7.977066980E2,1.026899261E3
7.987415730E2,1.026890945E3
7.997764940E2,1.026890564E3
8.008113790E2,1.026890564E3
8.018462910E2,1.026891785E3
8.028812270E2,1.026892166E3
8.039161410E2,1.026892319E3
8.049510260E2,1.026892853E3
8.059859360E2,1.026893082E3
8.070208380E2,1.026893387E3
8.080557540E2,1.026893387E3
8.090906860E2,1.026893387E3
8.101256000E2,1.026893463E3
8.111604280E2,1.026893997E3
8.121952750E2,1.026893997E3
8.132301230E2,1.026894989E3
8.142650070E2,1.026901093E3
8.152999150E2,1.026907349E3
8.163347820E2,1.026907349E3
8.173696230E2,1.026889877E3
8.184045110E2,1.026854324E3
8.194394050E2,1.026814575E3
8.204743130E2,1.026774826E3
8.215091990E2,1.026733856E3
8.225440780E2,1.026713791E3
8.235789580E2,1.026710739E3
8.246138780E2,1.026700363E3
8.256488020E2,1.026681366E3
8.266836720E2,1.026660919E3
8.277185800E2,1.026660919E3
8.287534940E2,1.026661606E3
8.297884280E2,1.026678619E3
8.308233400E2,1.026706848E3
8.318582280E2,1.026738815E3
8.328931440E2,1.026771317E3
8.339280590E2,1.026787338E3
8.349629750E2,1.026805878E3
8.359978950E2,1.026821213E3
8.370329000E2,1.026846924E3
8.380679080E2,1.026863556E3
8.391029440E2,1.026880112E3
8.401379730E2,1.026894684E3
8.411729860E2,1.026904526E3
8.422079250E2,1.026907883E3
8.432429190E2,1.026914444E3
8.442779350E2,1.026947174E3
8.453129530E2,1.026987381E3
8.463479500E2,1.027051544E3
8.473829310E2,1.027127609E3
8.484179010E2,1.027206573E3
8.494528250E2,1.027266769E3
8.504876960E2,1.027318649E3
8.515225760E2,1.027354507E3
8.525575090E2,1.027375717E3
8.535923810E2,1.027391739E3
8.546272880E2,1.027399750E3
8.556621430E2,1.027405319E3
8.566970180E2,1.027406235E3
8.577319690E2,1.027406235E3
8.587669290E2,1.027405243E3
8.598017790E2,1.027383652E3
8.608366560E2,1.027367096E3
8.618715770E2,1.027352982E3
8.629065300E2,1.027339249E3
8.639414670E2,1.027327957E3
8.649764190E2,1.027327957E3
8.660113400E2,1.027334366E3
8.670462750E2,1.027336121E3
8.680812530E2,1.027340622E3
8.691161810E2,1.027350693E3
8.701511770E2,1.027356339E3
8.711861920E2,1.027369995E3
8.722211580E2,1.027384872E3
8.732560920E2,1.027414551E3
8.742911130E2,1.027433319E3
8.753261050E2,1.027433319E3
8.763611530E2,1.027425842E3
8.773961100E2,1.027361984E3
8.784311280E2,1.027288055E3
8.794661600E2,1.027209778E3
8.805011450E2,1.027130432E3
8.815361410E2,1.027081375E3
8.825711030E2,1.027072449E3
8.836060830E2,1.027070999E3
8.846410660E2,1.027070999E3
8.856760250E2,1.027071838E3
8.867110160E2,1.027071838E3
8.877460390E2,1.027071152E3
8.887810790E2,1.027070389E3
8.898161320E2,1.027070312E3
8.908511610E2,1.027070007E3
